fm_id,type,Title,alternative_title,language,y1,y2,d1,d2,m1,m2,format,place_id_fk1,place_id_fk2,link,ext_notes,import
1607,printed,"Defensio confessionis ministrorum Jesu Christi, ecclesiae antuerpiensis, quae Augustanae confessioni adsentitur, contra judoci tiletani varia sophismata[...]Cum praevia adhoratione [...] Addita est [...] adhortatio ad piam Constantiam [...]",0,Latin,1567,0,0,0,0,0,8o,0,0,http://www.odis.be/lnk/en/PB_45933,"<p><br data-mce-bogus=""1""></p><div id=""ConnectiveDocSignExtentionInstalled"" data-extension-version=""1.0.4""></div>",Imported from 20231128_ml_ingest_odis_ml_pb.json
1608,printed,Summulae logicales: Textus summularum,0,Latin,1474,1474,0,0,0,0,4o,5,0,http://www.odis.be/lnk/en/PB_45955,<p>Philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1609,printed,Institutiones (with the Glossa ordinaria of Accursius),0,Latin,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45956,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1610,printed,Repertorium juris,0,0,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45957,<p>Law =&gt; Canon law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1611,printed,Processus iudiciarius,0,Latin,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45958,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1612,printed,Breviarium super Codicem,0,Latin,1477,1477,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45959,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1613,printed,Summulae logicales,0,0,1477,1483,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45960,<p>Philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1614,printed,Vocabularius juris utriusque,0,Latin,1477,1478,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45961,<p>Law =&gt; dictionary</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1615,printed,Modus legendi abbreviaturas in utroq. iure,0,Latin,1483,1483,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45962,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1616,printed,Casus summarii Decretalium Sexti et Clementinarum,0,Latin,1480,1480,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45963,<p>Law =&gt; Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1617,printed,Processus iudiciarius,0,Latin,1481,1483,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45964,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1618,printed,De consolatione philosophiae,0,Latin,1484,1484,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45965,<p>Philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1619,printed,De consolatione philosophiae,0,Latin,1487,1487,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45966,<p>Philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1620,printed,Methodus utriusque iuris,0,Latin,1483,1484,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45971,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1621,printed,Casus longi super quinque libros decretalium,0,Latin,1484,1484,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45972,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1622,printed,Annotationes ad Justiniani Institutiones,0,Latin,1486,1488,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45973,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1623,printed,Commentum super decem praeceptis decalogi,0,Latin,1486,1486,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45974,<p>Canon Law</p><p>Theology</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1624,printed,Super institutiones,0,Latin,1486,1488,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45975,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1625,printed,Modus legendi abbreviaturas,0,Latin,1488,1488,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45977,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1626,printed,Methodus utriusque juris,0,Latin,1488,1488,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45978,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
